Country Name,Country Code,Year,Value
Norway,NOR,1960,3581239
Norway,NOR,1961,3609800
Norway,NOR,1962,3638918
Norway,NOR,1963,3666537
Norway,NOR,1964,3694339
Norway,NOR,1965,3723168
Norway,NOR,1966,3753012
Norway,NOR,1967,3784539
Norway,NOR,1968,3816486
Norway,NOR,1969,3847707
Norway,NOR,1970,3875763
Norway,NOR,1971,3903039
Norway,NOR,1972,3933004
Norway,NOR,1973,3960612
Norway,NOR,1974,3985258
Norway,NOR,1975,4007313
Norway,NOR,1976,4026152
Norway,NOR,1977,4043205
Norway,NOR,1978,4058671
Norway,NOR,1979,4072517
Norway,NOR,1980,4085620
Norway,NOR,1981,4099702
Norway,NOR,1982,4114787
Norway,NOR,1983,4128432
Norway,NOR,1984,4140099
Norway,NOR,1985,4152516
Norway,NOR,1986,4167354
Norway,NOR,1987,4186905
Norway,NOR,1988,4209488
Norway,NOR,1989,4226901
Norway,NOR,1990,4241473
Norway,NOR,1991,4261732
Norway,NOR,1992,4286401
Norway,NOR,1993,4311991
Norway,NOR,1994,4336613
Norway,NOR,1995,4359184
Norway,NOR,1996,4381336
Norway,NOR,1997,4405157
Norway,NOR,1998,4431464
Norway,NOR,1999,4461913
Norway,NOR,2000,4490967
Norway,NOR,2001,4513751
Norway,NOR,2002,4538159
Norway,NOR,2003,4564855
Norway,NOR,2004,4591910
Norway,NOR,2005,4623291
Norway,NOR,2006,4660677
Norway,NOR,2007,4709153
Norway,NOR,2008,4768212
Norway,NOR,2009,4828726
Norway,NOR,2010,4889252
Norway,NOR,2011,4953088
Norway,NOR,2012,5018573
Norway,NOR,2013,5079623
Norway,NOR,2014,5137232
Norway,NOR,2015,5188607
Norway,NOR,2016,5234519
Norway,NOR,2017,5276968
Norway,NOR,2018,5311916
Norway,NOR,2019,5347896
Norway,NOR,2020,5379475
Norway,NOR,2021,5408320
Norway,NOR,2022,5457127
Norway,NOR,2023,5519594
